MFT1_HAL03_noFilter_UVIR600um2_UVIR600um1_WR4
Integration time [ms]:  34,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2201504U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 177,74;  143,262;  182,178;  124,529; 0,00000
 178,35;  172,956;  185,092;  171,647; 0,00000
 178,95;  135,660;  182,583;  117,477; 0,00000
 179,56;  169,246;  209,174;  154,381; 0,00000
 180,16;  164,599;  151,261;  173,012;61,32270
 180,77;  132,248;  177,319;  118,834; 0,00000
 181,37;  139,636;  165,154;  142,291; 0,00000
 181,97;  163,163;  159,720;  161,407;204,04760
 182,58;  150,654;  121,995;  154,470;88,25077
 183,18;  161,866;  146,759;  165,713;79,70670
 183,79;  190,924;  105,830;  217,701;76,06418
 184,39;  167,776;  125,377;  185,029;71,07849
 184,99;  153,658;  164,636;  149,599; 0,00000
 185,60;  205,739;  167,341;  210,671;88,61564
 186,20;  140,092;   97,180;  150,877;79,91512
 186,80;  157,543;  191,435;  147,726; 0,00000
 187,41;  226,155;  168,397;  282,444;50,64375
 188,01;  184,045;  288,291;  194,149; 0,00000
 188,62;  184,984;  231,319;  221,984; 0,00000
 189,22;  203,928;  168,181;  264,627;37,06353
 189,82;  177,122;  216,355;  225,641;-422,48836
 190,43;  178,719;  170,108;  234,614;13,34923
 191,03;  222,728;  181,081;  285,677;39,81632
 191,63;  205,580;  247,880;  244,579; 0,00000
 192,24;  206,123;  197,150;  277,144;11,21778
 192,84;  240,522;  254,157;  308,566;-25,06054
 193,45;  258,128;  209,683;  358,202;32,61869
 194,05;  246,939;  232,653;  311,992;18,00572
 194,65;  180,193;  219,845;  218,322; 0,00000
 195,26;  226,935;  219,712;  287,262;10,69273
 195,86;  203,667;  158,861;  264,087;42,58045
 196,46;  210,519;  200,908;  256,464;17,29976
 197,07;  167,010;  234,243;  195,273; 0,00000
 197,67;  212,824;  181,442;  268,122;36,20466
 198,27;  188,253;  223,562;  226,838;-1077,97100
 198,88;  176,454;  209,357;  212,740;-972,40922
 199,48;  205,375;  138,684;  276,450;48,40884
 200,08;  177,228;  188,133;  227,602;-27,63023
 200,68;  159,287;  207,509;  206,640; 0,00000
